No,名前,バージョン,評価,コメント
0299,ノズパス,1,★★★★☆,かなりリアルになったが、色が薄くなりすぎて普通の岩感が出た。もっと鉄鉱石に寄せた方がよさそう。
0300,エネコ,1,★★★☆☆,なんとなく雰囲気はあるが、アニメ版とは違う。
0301,エネコロロ,1,★★☆☆☆,無理やり変な格好させられている猫という感じ。
0302,ヤミラミ,1,★★★★★,リアルなエイリアンというか宝石を盗む悪者感が出ていて、完璧。
0303,クチート,1,★★☆☆☆,頭から金属製大口をぶら下げた感じはやはり表現するのが難しい模様。
0304,ココドラ,1,★★★☆☆,鉄の亀っぽい雰囲気はあるが、どことなく雰囲気が違う。
0305,コドラ,1,★★★★☆,どことなく鉄のドラゴンっぽい雰囲気は出たが、とげが多く、風貌が異なる。
0306,ボスゴドラ,1,★★★★☆,迫力のある鉄ドラゴンを表現できたが、やや雰囲気が異なる。
0307,アサナン,1,★★★★★,瞑想する格闘家の弟子を見事なままにリアルに再現できた。
0308,チャーレム,1,★★★★★,リアルなプラスチック質感で見事に格闘家を再現できた。
0309,ラクライ,1,★★★☆☆,何となくそれっぽくなったが、狼感が強すぎる。
0310,ライボルト,1,★☆☆☆☆,もはや巨大な狼で原型をとどめていない。
0311,プラスル,1,★★★★★,リアルなプラス極の電気ネズミを見事に再現できた。
0312,マイナン,1,★★★★★,リアルなマイナス極の電気ネズミを見事に再現できた。
0313,バルビート,1,★★★☆☆,雰囲気は出せているが、クッションを首に巻いており、目の雰囲気も異なるため雰囲気が崩れている。
0314,イルミーゼ,1,★★★☆☆,同じく、雰囲気は出せているが、クッションを首に巻いており、目の雰囲気も異なるため雰囲気が崩れている。
0315,ロゼリア,1,★★★★☆,リアリティが出ているが、左手にバラがなく、頭の帽子の形状がおかしい。
0316,ゴクリン,1,★★★★☆,リアルな毒袋を見事に再現できたが、口の形状が普通な感じ、脚がついているようにみえる。
0317,マルノーム,1,★★★★☆,こちらも毒々しい感じだが、目がお化けみたいで怖く、やはり口の形状がおかしい。
0318,キバニア,1,★★★☆☆,機械的だけど普通のピラニアっぽくも見える。
0319,サメハダー,1,★★★★☆,見事に機械っぽいサメを表現できているが、ポケモン感が薄い。
0320,ホエルコ,1,★★★★★,玉っぽいリアルに存在しないクジラでしたが、本物っぽく再現できていて完璧。
0321,ホエルオー,1,★★★★★,リアルクジラにポケモン要素を加えることで再現度がかなり高い。
0322,ドンメル,1,★★★★☆,再現性高いが、ちょっとぼーっとした感が抜けていて、マスコット要素が弱い。
0323,バクーダ,1,★★★★☆,背中のこぶの火山は完成度高いが、顔の位置がややおかしく、こぶの数が足りない。
0324,コータス,1,★★★★☆,リアルな爬虫類になっているが、もっと強い煙を出してほしかったのと、顔にバカっぽさが足りない。
0325,バネブー,1,★★★★★,豚の頭＋バネ＋真珠という異形モンスターを見事にリアルに表現できた。
0326,ブーピッグ,1,★★★★★,リアルな豚をベースにして、真珠も載せている感じをリアルに表現できた。
0327,パッチール,1,★★★★★,ふらふらとした目が回っているウサギをリアルに再現できている。
0328,ナックラー,1,★★★★☆,頭のでかい亀を再現できたが、目が大きかったり、口が小さかったり雰囲気が異なる。
0329,ビブラーバ,1,★★★☆☆,普通のウスバカゲロウっぽくなった。
0330,フライゴン,1,★★★☆☆,蜻蛉感が強く、ドラゴンっぽさが弱い。
0331,サボネア,1,★★★☆☆,雰囲気はあるが、胴体がついてしまい、目もちゃんと描かれず、はにわっぽくなった。
0332,ノクタス,1,★★☆☆☆,帽子の形をはじめとして目の迫力もないので、大きくかけ離れて、はにわっぽい。
0333,チルット,1,★★★★☆,顔と胴体が分かれており、綿が首周りにあって羽がないように見える。
0334,チルタリス,1,★★★★★,青い鳥として大きく、首も長く、体全体に綿毛がある表現がリアルで自然。
0335,ザングース,1,★★★★★,リアルな猫っぽいマングースで手の鋭い爪もリアルに表現できた。
0336,ハブネーク,1,★★★☆☆,特徴をとらえきれず、普通のヘビになってしまった。
0337,ルナトーン,1,★★★★☆,リアルな岩でクレーターも見事に表現できているが、目の位置が口のあたりにきているのだけ惜しい。
0338,ソルロック,1,★★★★★,リアルな岩でごつごつした感じの太陽を表現できており、完璧。
0339,ドジョッチ,1,★★★★☆,クオリティ高いがどことなく雰囲気が異なる。
0340,ナマズン,1,★★★★☆,同じくクオリティ高いが何かが変な気がする。
0341,ヘイガニ,1,★★★☆☆,特徴とらえているが普通のザリガニ感。
0342,シザリガー,1,★★☆☆☆,ザリガニというより怪物っぽくなった。
0343,ヤジロン,1,★★☆☆☆,形状の特徴はとらえているが顔の雰囲気でだいぶイメージが崩れている。
0344,ネンドール,1,★☆☆☆☆,もはや、かりんとう饅頭みたいで原型なし。
0345,リリーラ,1,★★☆☆☆,花瓶っぽい物体にイソギンチャクを植えました感が強い。
0346,ユレイドル,1,★★☆☆☆,同じく、花瓶っぽい物体にイソギンチャクを植えました感。
0347,アノプス,1,★★★★☆,再現度が高いが、どこかしら形状が異なり、違和感のある部分がある。
0348,アーマルド,1,★★★★☆,アノプス以上に再現度が高くなったが、抜けている模様がある。
0349,ヒンバス,1,★★★☆☆,どことなく普通のブラックバスという感じ。
0350,ミロカロス,1,★★☆☆☆,魚っぽさが強すぎて、美しいというよりは気持ち悪さが混ざってしまった。
0351,ポワルン,1,★★★☆☆,雰囲気は出せているが、アニメ版と大きく違う。
0352,カクレオン,1,★★★★☆,見事にリアルカメレオンを再現できたが、形状が異なる部分あり。
0353,カゲボウズ,1,★★☆☆☆,普通のグレーのてるてる坊主で不気味すぎる
0354,ジュペッタ,1,★★★☆☆,雰囲気は醸し出せているもののいろいろと特徴が抜け落ちている
0355,ヨマワル,1,★★★★★,黒いローブを纏い、骸骨の仮面をつけた感じをリアルに再現できた。
0356,サマヨール,1,★★☆☆☆,細すぎるて、着ぐるみをかぶった人間感。
0357,トロピウス,1,★★★★☆,首にバナナがなく、どことなく雰囲気が違う。
0358,チリーン,1,★★★★☆,リアルな風鈴を再現できているが、目の感じやぶら下がっている短冊形状のものの雰囲気が違う。
0359,アブソル,1,★★★★☆,モチーフがよくわからない獣ではあったが、再現度は高い。ただ、やはり猿に寄ってしまい、違った雰囲気も出ている。
0360,ソーナノ,1,★★★☆☆,第2世代のソーナンスとセットで作成。ゴムっぽいマスコットキャラ風にするとそれらしくなるが、口や耳がなく、他も少しずつ何かが欠けている。
0361,ユキワラシ,1,★★★★☆,雰囲気かなり出ているが、胴体と顔が分かれてしまい、藁も頭と体それぞれにかぶっている感じに。
0362,オニゴーリ,1,★★★☆☆,鬼の顔を表現できているが、本体を囲う氷がほぼ抜け落ち、うっすらと雪をかぶっている程度に。
0363,タマザラシ,1,★★★★☆,玉っぽさを表現できず、顔と胴体が分かれてしまった感じ。
0364,トドグラー,1,★★★★★,髭がちょっと違和感あるくらいでリアルトドを表現できているのでほぼ完ぺき。
0365,トドゼルガ,1,★★★★☆,どっしりとしたリアルなセイウチになっているが、顔や首周りの白い毛が足りない。
0366,パールル,1,★★★★☆,リアルな2枚貝に大きなリアル真珠が乗っているところまでいいが、真珠を守る突起が真珠になっていて守られていない。
0367,ハンテール,1,★★★★☆,ウツボっぽくてかなりリアルだが、頭の上下のひれが抜けていたり、しっぽの形状が違う。
0368,サクラビス,1,★★★☆☆,お腹の貝殻が描かれなかったり、嘴のような口がちょっと小さい。
0369,ジーランス,1,★★★☆☆,岩でできたリアルなシーラカンスっぽいが、ジーランスではない。
0370,ラブカス,1,★★☆☆☆,普通のきれいなピンクの熱帯魚。特徴であるハートが全く表現できていない。
0371,タツベイ,1,,
0372,コモルー,1,,
0373,ボーマンダ,1,,
0374,ダンバル,1,,
0375,メタング,1,,
0376,メタグロス,1,,
0377,レジロック,1,,
0378,レジアイス,1,,
0379,レジスチル,1,,
0380,ラティアス,1,,
0381,ラティオス,1,,
0382,カイオーガ,1,,
0383,グラードン,1,,
0384,レックウザ,1,,
0385,ジラーチ,1,,
0386,デオキシス,1,,
