No,名前,バージョン,評価,コメント
0521-1,ケンホロウ（オスのすがた）,1,★★★★★,お腹の緑の模様や、頭の赤いとさかを見事に再現できた。
0521-2,ケンホロウ（メスのすがた）,1,★★☆☆☆,普通のハトでかつハトーボと全く同じでクイーン感がない。
0522,シママ,1,★★★★★,リアルな電気シマウマの子供を自然な感じで再現できた。
0523,ゼブライカ,1,★★★★★,電気シマウマをリアルに再現できた。
0524,ダンゴロ,1,,
0525,ガントル,1,,
0526,ギガイアス,1,,
0527,コロモリ,1,,
0528,ココロモリ,1,,
0529,モグリュー,1,,
0530,ドリュウズ,1,,
0531,タブンネ,1,★★★★★,動物っぽい質感で幸せを運ぶ妖精感を出せている。
0532,ドッコラー,1,,
0533,ドテッコツ,1,,
0534,ローブシン,1,,
0535,オタマロ,1,,
0536,ガマガル,1,,
0537,ガマゲロゲ,1,,
0538,ナゲキ,1,,
0539,ダゲキ,1,,
0540,クルミル,1,,
0541,クルマユ,1,,
0542,ハハコモリ,1,,
0543,フシデ,1,,
0544,ホイーガ,1,,
0545,ペンドラー,1,,
0546,モンメン,1,,
0547,エルフーン,1,,
0548,チュリネ,1,,
0549,ドレディア,1,,
0550-1,バスラオ（あかすじのすがた）,1,,
0550-2,バスラオ（あおすじのすがた）,1,,
0551,メグロコ,1,,
0552,ワルビル,1,,
0553,ワルビアル,1,,
0554,ダルマッカ,1,,
0555-1,ヒヒダルマ（ノーマルモード）,1,,
0555-2,ヒヒダルマ（ダルマモード）,1,,
0556,マラカッチ,1,,
0557,イシズマイ,1,,
0558,イワパレス,1,,
0559,ズルッグ,1,,
0560,ズルズキン,1,,
0561,シンボラー,1,,
0562,デスマス,1,,
0563,デスカーン,1,,
0564,プロトーガ,1,,
0565,アバゴーラ,1,,
0566,アーケン,1,,
0567,アーケオス,1,,
0568,ヤブクロン,1,,
0569,ダストダス,1,,
0570,ゾロア,1,,
0571,ゾロアーク,1,,
0572,チラーミィ,1,,
0573,チラチーノ,1,,
0574,ゴチム,1,,
0575,ゴチミル,1,,
0576,ゴチルゼル,1,,
0577,ユニラン,1,,
0578,ダブラン,1,,
0579,ランクルス,1,,
0580,コアルヒー,1,,
0581,スワンナ,1,,
0582,バニプッチ,1,,
0583,バニリッチ,1,,
0584,バイバニラ,1,,
0585-1,シキジカ（はるのすがた）,1,,
0585-2,シキジカ（なつのすがた）,1,,
0585-3,シキジカ（あきのすがた）,1,,
0585-4,シキジカ（ふゆのすがた）,1,,
0586-1,メブキジカ（はるのすがた）,1,,
0586-2,メブキジカ（なつのすがた）,1,,
0586-3,メブキジカ（あきのすがた）,1,,
0586-4,メブキジカ（ふゆのすがた）,1,,
0587,エモンガ,1,,
0588,カブルモ,1,,
0589,シュバルゴ,1,,
0590,タマゲタケ,1,,
0591,モロバレル,1,,
0592-1,プルリル（オスのすがた）,1,,
0592-2,プルリル（メスのすがた）,1,,
0593-1,ブルンゲル（オスのすがた）,1,,
0593-2,ブルンゲル（メスのすがた）,1,,
0594,ママンボウ,1,,
0595,バチュル,1,,
0596,デンチュラ,1,,
0597,テッシード,1,,
0598,ナットレイ,1,,
0599,ギアル,1,,
0600,ギギアル,1,,
0601,ギギギアル,1,,
0602,シビシラス,1,,
0603,シビビール,1,,
0604,シビルドン,1,,
0605,リグレー,1,,
0606,オーベム,1,,
0607,ヒトモシ,1,,
0608,ランプラー,1,,
0609,シャンデラ,1,,
0610,キバゴ,1,,
0611,オノンド,1,,
0612,オノノクス,1,,
0613,クマシュン,1,,
0614,ツンベアー,1,,
0615,フリージオ,1,,
0616,チョボマキ,1,,
0617,アギルダー,1,,
0618,マッギョ,1,,
0619,コジョフー,1,,
0620,コジョンド,1,,
0621,クリムガン,1,,
0622,ゴビット,1,,
0623,ゴルーグ,1,,
0624,コマタナ,1,,
0625,キリキザン,1,,
0626,バッフロン,1,,
0627,ワシボン,1,,
0628,ウォーグル,1,,
0629,バルチャイ,1,,
0630,バルジーナ,1,,
0631,クイタラン,1,,
0632,アイアント,1,,
0633,モノズ,1,,
0634,ジヘッド,1,,
0635,サザンドラ,1,,
0636,メラルバ,1,,
0637,ウルガモス,1,,
0638,コバルオン,1,,
0639,テラキオン,1,,
0640,ビリジオン,1,,
0641-1,トルネロス（けしんフォルム）,1,,
0641-2,トルネロス（れいじゅうフォルム）,1,,
0642-1,ボルトロス（けしんフォルム）,1,,
0642-2,ボルトロス（れいじゅうフォルム）,1,,
0643,レシラム,1,,
0644,ゼクロム,1,,
0645-1,ランドロス（けしんフォルム）,1,,
0645-2,ランドロス（れいじゅうフォルム）,1,,
0646,キュレム（キュレムのすがた）,1,,
0646-1,キュレム（ホワイトキュレム）,1,,
0646-2,キュレム（ブラックキュレム）,1,,
0647-1,ケルディオ（いつものすがた）,1,,
0647-2,ケルディオ（かくごのすがた）,1,,
0648-1,メロエッタ（ボイスフォルム）,1,,
0648-2,メロエッタ（ステップフォルム）,1,,
0649,ゲノセクト,1,,
