No,名前,評価,コメント
0033,ニドリーノ,★★☆☆☆,ニドリーナと同じく、ニドラン♂との差別化ができていない。
0034,ニドキング,★★☆☆☆,まんまニドクインになってしまった。王様感がなく、王女感が出てしまっている。
0035,ピッピ,★★★☆☆,ピッピだとわかるが、何かが違うと思う。
0036,ピクシー,★☆☆☆☆,別世界からやってきた感はあるが、ピクシーだとわからない。もはや別の生物。
0037,ロコン,★★★★★,かなりかわいい。ロコンの雰囲気を忠実に再現できている。
0038,キュウコン,★★★★☆,ロコンの母親感が出ており良いと思うが、9本のしっぽをより表現できると良い。
0039,プリン,★★★☆☆,プリンの雰囲気は出ているが何かが違う。歌っているのであれば、マイクも欲しい。
0040,プクリン,★★☆☆☆,なんとなくプクリンなのではないかと分かるが、違う。
0041,ズバット,★☆☆☆☆,見えない。。。洞窟を背景にするのはやめた方がいいかも。拡大してみてもどこにでもいそうなコウモリ感。
0042,ゴルバット,★★☆☆☆,ただの凶暴化した大型コウモリなだけで、ゴルバットではない。背景も暗すぎる。
0043,ナゾノクサ,★★★★☆,だいぶリアルに表現できているが、草が細いというか違うというか。
0044,クサイハナ,★☆☆☆☆,象徴となるはずの花がない。よだれをたらした何かわからない生物感(笑)。
0045,ラフレシア,★★★★★,リアルなラフレシアという毒々しい花を表現できている。
0046,パラス,★★★☆☆,片方のキノコがめちゃくちゃでかく、つやつやすぎるので、虫というよりエイリアン感が強い(笑)
0047,パラセクト,★★★★★,腐ったキノコ感が出ていて、死んだ魚の目をしているので、キノコに支配された虫感が強く、かなり良い。
0048,コンパン,★★★★★,毛玉がリアルで現実にいたら気持ち悪いだろうなと思わせるくらいに忠実に再現できている。
0049,モルフォン,★★★★★,現実にいたら気持ち悪いというか怖い蛾をリアルに表現できている。
0050,ディグダ,★★★★★,アニメのダグトリオを忠実にリアル化できている。
0051,ダグトリオ,★★★★☆,おっさん感が出まくりで、アニメのダグトリオと違うかもしれないが、それがまた面白い。
0052,ニャース,★★★★☆,小判がついているリアルな猫なのでニャースと分かるが、2足歩行が良かったかも。
0053,ペルシアン,★★★☆☆,雰囲気でペルシアンだとわかるが、どこにでもいそうな猫感。。。
0054,コダック,★★★★★,リアルなアヒルを再現しつつ、頭が痛そうで抱えているさまはコダックそのもの。
0055,ゴルダック,★★★★☆,忠実にリアル化できているが、ちょっとマッチョになりすぎた感がある。
0056,マンキー,★★★☆☆,胴体が長い。ちょっと人間も混ざっているので、あくまでも獣という前提にした方がいい。
0057,オコリザル,★★☆☆☆,頭は獣、体は人間になっているので、あくまでも頭から直で獣の手と足が生えている感じにしたい。
0058,ガーディ,★★★★★,ガーディを忠実に再現しつつ、ペットにしたくなるような可愛さが出まくっている。
0059,ウインディ,★★★★☆,空想上の生き物に近くなっており良い感じだが、ちょっとウインディの雰囲気とは違うかも。
0060,ニョロモ,★☆☆☆☆,何かが気持ち悪い。もっとかわいさが欲しい。頭はいらない。胴体に目と口がついている感じにした良い。
0061,ニョロゾ,★★☆☆☆,ニョロゾの雰囲気は出ているが、頭と胴体を分ける必要はない。手袋みたいなものがない。
0062,ニョロボン,★★☆☆☆,ニョロボンのマッチョな雰囲気は出ているが、頭と胴体を分ける必要はない。
0063,ケーシィ,★★★☆☆,瞑想している狐感が強く出ていて雰囲気はあるが、何かが違う。
0064,ユンゲラー,★★★☆☆,片手にスプーンを持っており、ユンゲラーっぽくなっているが、何かが違う。
0065,フーディン,★★★☆☆,両手にスプーンを持っている仙人感が出ているが、何かが違う。
0066,ワンリキー,★★☆☆☆,気持ち悪さが出てしまっている。もっと子供というかわんぱく感がほしい。
0067,ゴーリキー,★★☆☆☆,おっさん感が強すぎる。もっとかっこいい雰囲気を出したい。
0068,カイリキー,★★☆☆☆,肝心の腕が2本しかない。4本ないとカイリキーではない。見た目も怖すぎる。
0069,マダツボミ,★★★☆☆,ちょっとウツドンとも混ざってしまったか。茎が短いので違和感ある。
0070,ウツドン,★★★☆☆,両脇に葉っぱがなく、目のインパクトも弱い。
0071,ウツボット,★☆☆☆☆,原型をとどめておらず、別の生き物にしか見えない。そもそもウツボカズラという植物がマイナーなので表現が難しいか。
0072,メノクラゲ,★★☆☆☆,雰囲気はあるが、なんとなく宇宙からやってきたエイリアン感がある。赤いゼリー状のものの配置もおかしい。ドククラゲと似通っている。
0073,ドククラゲ,★★★★☆,かなりリアルに再現できていると思うが、足の数が多すぎるように思う。
0074,イシツブテ,★★★★★,ごつごつした石を忠実に再現できている。
0075,ゴローン,★★★★☆,ごつごつした岩感は再現できているが、マッチョすぎてちょっと違和感あり。
0076,ゴローニャ,★★★☆☆,背景が暗いせいかインパクトに欠ける。腕もないように見えて、ゴローンより弱そう。
0077,ポニータ,★★★★★,火のついたポニーを再現できており、リアリティが強い。
0078,ギャロップ,★★★★★,空想上の生き物だが、現実にいたらインパクト大。
0079,ヤドン,★★★★☆,肌の質感がかなりリアルで気持ち悪さが出ているが、もううちょっとのんびりしたマヌケ感を出してもよい。
0080,ヤドラン,★★★★☆,肌の質感がリアルで後ろの貝殻もリアルだが、マヌケ感を出しつつ、貝殻には目をつけたい。
0081,コイル,★★★★★,金属＋磁石の光沢がリアルすぎる。目力もすごい。現実にいそうな感じが出ている。
0082,レアコイル,★★★★★,コイルと同上で、金属＋磁石の光沢がリアルすぎる。現実にいそうな感じが出ている。
0083,カモネギ,★★★★☆,リアルなネギをもったカモを忠実に再現できているが、ちょっとアニメ感が出てしまった。
0084,ドードー,★★★★☆,現実にいないような鳥を再現できているが、アニメ感がちょっと強い。
0085,ドードリオ,★★★☆☆,アニメ感が強く、首も1本足りていない。
0086,パウワウ,★★★★★,現実にいそうなかわいいアザラシに置き換えられており、水族館の人気者感が全面的に押し出されている。
0087,ジュゴン,★★☆☆☆,普通のアザラシ感が出ており、パウワウとの差別化もできていない感じがする。
0088,ベトベター,★★★☆☆,汚いヘドロをリアルに再現できているが、ベトベトンとの差別化がいまいち。
0089,ベトベトン,★★★☆☆,同じく汚いヘドロをリアルに再現できているが、ベトベターとの差別化がいまいち。
0090,シェルダー,★★★★★,ホタテっぽい貝殻に舌を出した顔をのぞかせるような現実にいない生物をリアルに再現できている。
0091,パルシェン,★★★★★,大シャコガイから目の付いた顔をのぞかせるというこれも現実にいないような生物をリアルに再現できている。
0092,ゴース,★★★☆☆,ゴースだとわかり、毒ガス感も全面的に押し出せているが、背景が暗いからかいまいちな部分がある。
0093,ゴースト,★★☆☆☆,どこにでもいそうなお化け感が強く、ぱっと見でゴーストと分かりにくい。
0094,ゲンガー,★★★☆☆,ゲンガーということがわかるが、インパクトが弱い。
0095,イワーク,★★★☆☆,イワークということがわかり、ごつごつした岩ヘビを表現できているが、何かが足りない。
0096,スリープ,★★★★☆,リアルな2足歩行の獏を再現できているがちょっとスリム。
0097,スリーパー,★★☆☆☆,狐感が強く出てしまった。右手に持っている振り子が時計になっている(笑)。
0098,クラブ,★☆☆☆☆,カニであることはわかるが、目が飛び出ていて、ハサミも協調されていないので、全然違った生物になっている。
0099,キングラー,★★★☆☆,大きなハサミでなんとかキングラーっぽくなっているが、ハサミが1本足りないし、全体的にキングラーの模様とは違う感じ。
0100,ビリリダマ,★★★★★,プラスチック感が強く出ていて、触るとと感電しそうな感じも強く出ている。
0101,マルマイン,★★★★★,同じくプラスチック感が出ていて、触ると危険であることがわかりそうな見た目。
0102,タマタマ,★★★☆☆,集まっているのでタマタマと分かるが、色合いが全然違い、表情や形も全部同じように見える。割れた卵やひびが入った卵も欲しい。
0103,ナッシー,★★★☆☆,ナッシーと一目でわかるが、スリムすぎるのとヤシの木感が弱いかも。
0104,カラカラ,★★★☆☆,ガラガラっぽくも見える。怖い。
0105,ガラガラ,★★★☆☆,リアルになりすぎて、怖すぎる。体型もマッチョになりすぎ。
0106,サワムラー,★☆☆☆☆,頭と胴体が分かれており、細長すぎて、どこの宇宙人かと思うような見た目になってしまっている。
0107,エビワラー,★☆☆☆☆,どこにでもいそうなボクサーになっており、エビワラー感がゼロ。
0108,ベロリンガ,★★★★☆,リアルな肌感で気持ち悪さが全面的に押し出されている。2足歩行であれば良かった。
0109,ドガース,★★★★☆,毒がたっぷり詰まった風船のようなものをリアルに再現できており、そこから汚染されそうな毒ガスが吹き出ているのが良い。ちょっとマタドガス寄りのルックスにも見える。
0110,マタドガス,★★★★☆,ドガースをさらに老化させて、干からびた感が出ているので良い。象徴のどくろマークが消えている。
0111,サイホーン,★★★★☆,強そうなリアルなサイを再現できている。足がちょっと長くスリムな感じになっている。
0112,サイドン,★★★☆☆,強そうな2足歩行のサイではあるが、サイドンとは遠ざかりつつある。
0113,ラッキー,★★★☆☆,ラッキーだとわかるが、かわいさがなく、気持ち悪い見た目になっている。幸せを運ぶ生き物感が足りない。
0114,モンジャラ,★★★☆☆,リアルなツルというより、蚊取り線香の素材っぽくなっている。靴の色も違う。
0115,ガルーラ,★★★☆☆,カンガルーではあるが、ガルーラはもっとどっしりしている。スリムになりすぎている。
0116,タッツー,★★★★★,リアルなタツノオトシゴを再現しつつ、かわいさも出せているので、完璧。
0117,シードラ,★★★★★,リアルなかっこいいタツノオトシゴを完璧に再現できている。
0118,トサキント,★★★★★,現実世界にいそうな金魚に角をつけることでトサキントを忠実に再現できている。
0119,アズマオウ,★★★★★,現実世界にいそうな金魚に角をつけることでアズマオウを忠実に再現できている。金魚の王様感を強く表現できている。
0120,ヒトデマン,★★★★★,金ピカなロボットヒトデっぽくなっており完璧。真ん中のビー玉もリアルな感じで輝いている。
0121,スターミー,★★★★★,銀色に光ったロボットヒトデ感が非常に強い。真ん中の宝石も現実のきれいな宝石をはめ込んだ感じで自然な感じに輝いている。完璧。
0122,バリヤード,★★☆☆☆,おじさんがコスプレをしているようにしか見えない。
0123,ストライク,★★★★★,リアルなカマキリが戦士になったようなカッコよさが全面的に出ている。
0124,ルージュラ,★★★☆☆,コミカルっぽさが強く出てしまった。体型は婦人＋顔がコミカルさが強い化け物みたいな感じ。
0125,エレブー,★★☆☆☆,雰囲気はあるが、エレブーとはまた全然違った生き物。
0126,ブーバー,★☆☆☆☆,もはや何の生物かわからない。ビーバーなのかすら怪しい。
0127,カイロス,★★★★★,リアルなクワガタが戦士になったようなカッコよさが全面的に出ている。
0128,ケンタロス,★★★☆☆,強そうな闘牛感は出ているが、何かが違うといった感じ。尻尾も1本しかない。
0129,コイキング,★★★★★,干からびた弱そうなタイを再現できている。
0130,ギャラドス,★★★★★,荒れた天気で雷鳴がなっている中で、カッコよく強そうなドラゴンを再現できている。
0131,ラプラス,★★★★★,広い海原を優雅に泳ぐ心優しいウミガメのような生物をリアルに表現できている。
0132,メタモン,★★★★☆,スライムというよりは固まったプラスチックっぽくなっている。それ以外は完璧。
0133,イーブイ,★★★★★,イーブイの雰囲気を出しつつ、実際に飼いたくなるような小動物っぽいかわいさを出せている。
0134,シャワーズ,★★★★★,イーブイの面影を残しつつ、イルカやアザラシといった水生生物風の雰囲気を忠実に再現できている。
0135,サンダース,★★★★★,毛並みを静電気っぽくたたせることで、触ると危険、感電しますという雰囲気を完璧に表現できている。
0136,ブースター,★★★★★,イーブイの雰囲気を残しつつ、湯気をたたせるような自然な感じで、触るとやけどしますという雰囲気を出せている。
0137,ポリゴン,★★★★★,金属素材であたかも人によってつくられたようなロボット感を全面に出せている。
0138,オムナイト,★★★★☆,リアルなアンモナイトが表現できているが、何かが足りないような気もする。
0139,オムスター,★★★☆☆,オムスターではあるが、口元に違和感があり、ちょっと怖い。
0140,カブト,★★★☆☆,現実世界のカブトガニを表現されているが、頭の黒点が足りていなかったり、ポケモンのカブトとして不足しているものがある。
0141,カブトプス,★★★★☆,現実にいたらびっくりするだろうと思うが、カマの色が茶色かったり何かが足りない。
0142,プテラ,★★★★☆,リアルなプテラノドンを再現できている。頭の形がやや異なる。
0143,カビゴン,★★☆☆☆,単なるぽっちゃりな食いしん坊のクマにしか見えない。カビゴンとは違った生物。
0144,フリーザー,★★★★☆,吹雪の中の幻想的な鳥を表現できている。近づくと凍らされそう。ただ、アニメ寄りになっている。
0145,サンダー,★★★★☆,近づくと感電しそうな雰囲気はあるが、全体的にスリム化されている。またアニメ寄り。
0146,ファイヤー,★★★☆☆,ファイヤーではあるが、かなりアニメっぽい。体全体が炎でできているように見える。
0147,ミニリュウ,★★★★★,かわいらしいヘビっぽい水生ドラゴンを表現できている。
0148,ハクリュー,★★★★☆,ヘビっぽい水生ドラゴンを表現できているが、しっぽの青い球に違和感あり。
0149,カイリュー,★★★☆☆,カイリューっぽいが、コミカル寄りになってしまった。岩に小さなぬいぐるみが乗っているようにも見え、迫力がない。
0150,ミュウツー,,
0151,ミュウ,,
